Date,Fear Greed,SPY_Close
2011-01-03,68,127.0500030517578
2011-01-04,68,126.9800033569336
2011-01-05,67,127.63999938964844
2011-01-06,64,127.38999938964844
2011-01-07,63,127.13999938964844
2011-01-10,58,126.9800033569336
2011-01-11,58,127.43000030517578
2011-01-12,58,128.5800018310547
2011-01-13,58,128.3699951171875
2011-01-14,60,129.3000030517578
2011-01-18,56,129.52000427246094
2011-01-19,55,128.25
2011-01-20,54,128.0800018310547
2011-01-21,47,128.3699951171875
2011-01-24,45,129.10000610351562
2011-01-25,43,129.1699981689453
2011-01-26,43,129.6699981689453
2011-01-27,43,129.99000549316406
2011-01-28,43,127.72000122070312
2011-01-31,41,128.67999267578125
2011-02-01,41,130.74000549316406
2011-02-02,46,130.49000549316406
2011-02-03,47,130.77999877929688
2011-02-04,49,131.14999389648438
2011-02-07,56,131.97000122070312
2011-02-08,56,132.57000732421875
2011-02-09,56,132.27000427246094
2011-02-10,56,132.32000732421875
2011-02-11,56,133.11000061035156
2011-02-14,61,133.42999267578125
2011-02-15,61,133.00999450683594
2011-02-16,61,133.85000610351562
2011-02-17,61,134.25
2011-02-18,56,134.52999877929688
2011-02-22,42,131.8300018310547
2011-02-23,42,131.02000427246094
2011-02-24,42,130.92999267578125
2011-02-25,42,132.3300018310547
2011-02-28,43,133.14999389648438
2011-03-01,43,130.92999267578125
2011-03-02,42,131.2100067138672
2011-03-03,41,133.47000122070312
2011-03-04,39,132.47000122070312
2011-03-07,35,131.42999267578125
2011-03-08,27,132.5800018310547
2011-03-09,26,132.38999938964844
2011-03-10,26,129.94000244140625
2011-03-11,26,130.83999633789062
2011-03-14,13,130.0500030517578
2011-03-15,13,128.55999755859375
2011-03-16,11,126.18000030517578
2011-03-17,9,127.8499984741211
2011-03-18,9,127.76000213623048
2011-03-21,14,129.74000549316406
2011-03-22,15,129.2899932861328
2011-03-23,16,129.66000366210938
2011-03-24,16,130.89999389648438
2011-03-25,19,131.3000030517578
2011-03-28,23,130.97999572753906
2011-03-29,23,131.86000061035156
2011-03-30,24,132.77000427246094
2011-03-31,24,132.58999633789062
2011-04-01,27,133.14999389648438
2011-04-04,31,133.25999450683594
2011-04-05,35,133.24000549316406
2011-04-06,37,133.66000366210938
2011-04-07,37,133.32000732421875
2011-04-08,37,132.86000061035156
2011-04-11,34,132.4600067138672
2011-04-12,33,131.47000122070312
2011-04-13,33,131.4600067138672
2011-04-14,30,131.55999755859375
2011-04-15,28,132.0399932861328
2011-04-18,24,130.55999755859375
2011-04-19,24,131.30999755859375
2011-04-20,25,133.10000610351562
2011-04-21,30,133.77999877929688
2011-04-25,35,133.63999938964844
2011-04-26,36,134.7899932861328
2011-04-27,37,135.6699981689453
2011-04-28,37,136.11000061035156
